A,B,C,D,Hint,Solution,filename,Use_3
9,8,8,5,NA,NA,9885.jpg,
9,8,7,5,8 AND Make 3 with 975,(7+5-9) x 8,9875.jpg,
9,8,7,2,32 MINUS 8,(9+7)*2-8 = 24,9872.jpg,
9,8,6,2,BIG NUMBERS - 72 and then DIV 3,9 x 8 / (6/2),9862.jpg,
9,8,5,3,NA,NA,9853.jpg,
9,8,4,4,36 MINUS 12,(9x4) MINUS (8+4),9844.jpg,
9,8,3,2,923 MAKE 3,(9 - (2x3)) x 8,9832.jpg,
9,7,5,2,35 MINUS 11,(7x5) - (9+2),9752.jpg,
9,7,4,2,NA,NA,9742.jpg,
9,7,3,2,9-7-2 make 8,(9+7)/2 x 3,9732.jpg,
9,6,6,5,NA,NA,9665.jpg,
9,6,5,2,9 AND 15,9 + ((6/2) x 5),9652.jpg,
9,6,4,1,941 MAKE 4 AND 6,(9-4-1) x 6,9641.jpg,
9,6,4,1,NA,NA,9641.jpg,
9,6,2,2,NA,NA,9622.jpg,
9,5,2,2,12 AND 2,(9+5-2) x 2,9522.jpg,
9,4,4,3,3 AND 8,9/3 x (4+4),9443.jpg,
8,8,7,5,MAKE 15 with 875,8 x ((8+7)/5),8875.jpg,
8,8,5,2,DOUBLE 8 ==> 48,(8x5)+8 DIVIDED BY 2,8852.jpg,
8,8,3,1,NA,NA,8831.jpg,
8,7,5,3,21 AND 3,(7 x 3) PLUS (8-5),8753.jpg,
8,7,4,4,8744 ==> 28 AND 4,(7x4) -8 + 4,8744.jpg,
8,7,4,3,NA,NA,8743.jpg,
8,6,4,4,NA,NA,8644.jpg,
8,6,4,2,"""All Evens. 8 x 3 OR 6 x 4""","""8 x (6/(4/2)) OR 6 x (8/(4/2))""",8642.jpg,
8,6,4,1,8 AND 641 make 3,8 x (6-4+1),8641.jpg,
8,6,3,3,8 and 633 make 3,8 x ((6+3)/3),8633.jpg,
8,6,3,2,8326 makes 26 - 2,((6x3)+8 )-2,8632.jpg,
8,5,5,2,(5/5) + 2,8 AND (5/5) + 2,8552.jpg,
8,5,4,1,OPPOSITES MAKE 4 AND 6,(8-4) AND (5+1),8541.jpg,
8,5,2,2,NA,NA,8522.jpg,
8,4,3,1,NA,NA,8431.jpg,
8,2,2,1,8221 - 8 stands out. So make 3 with 221,8 x (2+2-1),8221.jpg,
7,7,4,3,"""Double 7 ==> 21+3""","""(7x3)+7-4""",7743.jpg,
7,6,5,1,NA,NA,7651.jpg,
7,6,4,1,741 Make 4,6 x ((7-4)+1),7641.jpg,
7,6,3,2,NA,NA,7632.jpg,
7,5,5,4,NA,NA,7554.jpg,
7,5,3,3,NA,NA,7533.jpg,
7,5,3,2,21 AND 3,(7x3) AND (5-2),7532.jpg,
7,5,2,2,NA,NA,7522.jpg,
6,6,5,2,"""Double6 Tricks - 6 + 18""",6 + (6 x (5-2)),6652.jpg,
5,5,4,2,NA,NA,5542.jpg,
5,4,4,2,NA,NA,5442.jpg,
5,4,2,1,NA,NA,5421.jpg,
5,3,3,3,15 AND 9,(5x3) + (3x3),5333.jpg,
5,3,3,2,12 AND 2,(5x3 -3) x 2,5332.jpg,
5,3,2,2,NA,NA,5322.jpg,
9,,7,5,12 MINUS 9,12 MINUS 9,3w975.jpg,1
8,,7,5,15 Divided by 5,(8+7)/5,3w875.jpg,1
9,,7,2,16 x 2,(9+7) x 2,32w972.jpg,1
,,,,2 AND 12 with 10_7_2,2 x ((10/2) + 7),10_7_2_2.jpg,
,,,,30 minus 6,(11-8)x10 minus 6,11_10_8_6.jpg,
,,,,38 minus 14,(10+9)x2 minus 14,14_10_9_2.jpg,
,,,,"MAKE 9 with 11,7,2",15 + (11+7)/2,15_11_7_2.jpg,
,,,,NA,NA,18_18_16_12.jpg,
,,,,NA,NA,20_12_3_3.jpg,
,,,,NA,NA,20_9_4_3.jpg,
,,,,NA,NA,21_14_2_2.jpg,
,,,,NA,NA,22_13_9_5.jpg,
,,,,46 MINUS 22,((21 +2) x 2) -22,22_21_2_2.jpg,
,,,,Make 46,(23 x (1+1)) - 22,23_22_1_1.jpg,
